NZ_JBBPBW010000028.1	gb|BAM10414.1|ARO:3003039|OprA	40.839	453	1.55e-72	252	gb|BAM10414.1|ARO:3003039|OprA [Pseudomonas aeruginosa] 
NZ_JBBPBW010000028.1	gb|EGP45230.2|ARO:3004142|OprZ	40.611	458	1.90e-72	251	gb|EGP45230.2|ARO:3004142|OprZ [Achromobacter insuavis AXX-A] 
NZ_JBBPBW010000028.1	gb|AAG03816.1|ARO:3000379|OprM	40.466	472	1.43e-71	249	gb|AAG03816.1|ARO:3000379|OprM [Pseudomonas aeruginosa PAO1] 
NZ_JBBPBW010000028.1	gb|AAD51346.1|ARO:3003053|smeC	39.056	466	2.53e-69	243	gb|AAD51346.1|ARO:3003053|smeC [Stenotrophomonas maltophilia] 
NZ_JBBPBW010000028.1	gb|CAC14596.1|ARO:3003057|smeF	39.651	459	1.85e-66	234	gb|CAC14596.1|ARO:3003057|smeF [Stenotrophomonas maltophilia] 
NZ_JBBPBW010000028.1	gb|AAB41958.1|ARO:3000802|OprJ	39.479	461	3.86e-61	219	gb|AAB41958.1|ARO:3000802|OprJ [Pseudomonas aeruginosa] 
NZ_JBBPBW010000028.1	gb|AAL19304.1|ARO:3000791|mdsC	35.366	492	2.56e-60	217	gb|AAL19304.1|ARO:3000791|mdsC [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2] 
NZ_JBBPBW010000028.1	gb|CAA64891.1|ARO:3000812|mtrE	36.403	467	4.58e-55	201	gb|CAA64891.1|ARO:3000812|mtrE [Neisseria gonorrhoeae] 
NZ_JBBPBW010000028.1	gb|ABS43151.1|ARO:3000784|cmeB	22.518	1088	6.55e-54	208	gb|ABS43151.1|ARO:3000784|cmeB [Campylobacter jejuni subsp. doylei 269.97] 
NZ_JBBPBW010000028.1	gb|BAE06006.1|ARO:3003705|mexN	23.308	1034	2.78e-53	206	gb|BAE06006.1|ARO:3003705|mexN [Pseudomonas aeruginosa] 
NZ_JBBPBW010000028.1	gb|ALX99516.1|ARO:3003811|adeC	33.836	464	1.22e-51	191	gb|ALX99516.1|ARO:3003811|adeC [Acinetobacter baumannii] 
